type,name,is_default
luggage,Рюкзак с учебниками 11 класса
luggage,Нож
luggage,Гитара
luggage,Флейта
luggage,Настольные игры
luggage,Покер
luggage,Кружка
luggage,Аптечка
luggage,Коробка мандаринов
luggage,10 одноразовых масок
luggage,Ноутбук который работате без зарядки 24 часа
luggage,Телефон
luggage,Радио
luggage,АК-47
luggage,Коробка с саженцами
luggage,Букет
luggage,Пять консервов
luggage,Автомобиль с полностью залитым баком
luggage,Собака
luggage,Кот
luggage,Фонарик который может работать 3 дня без остановки
luggage,Коробка с соком
luggage,Сборник анекдотов
luggage,Две пары трусов
luggage,Молоток
luggage,Коробка с инструментами
luggage,Туалетная бумага
luggage,Семена кукурузы
luggage,Учебник по выживанию
luggage,Игрушка деревянного динозавра
luggage,Гаечный ключ
luggage,Пистолет
luggage,Топор
luggage,Бензопила
luggage,Саженцы подсолнухов
luggage,Ведро
luggage,Журнал для взрослых
luggage,Касеты с фильмами
luggage,Телевизор
luggage,Удочка
luggage,Лук и стрелы
luggage,Презервативы
luggage,Тетрадь и ручка
luggage,Компас
luggage,Карта местности
luggage,Аккумулятор
luggage,Два противогаза
luggage,Табурет
luggage,Кастрюля
luggage,Сковородка
luggage,Часы
luggage,Мыло
luggage,Юла
luggage,Спирт
luggage,Колода карт
luggage,Грудной ребенок
luggage,Немецкая овчарка
luggage,Профессиональный инкубатор для яиц
luggage,Семена морковки
luggage,Переносная электростанция
luggage,Драгоценные камни
luggage,Словарь русско-китайский
luggage,Пять килограмм сахара
luggage,3 монеты биткоина
luggage,Пусто,true
