type,name,is_default
additional,Знает пять языков
additional,Облетел весь мир
additional,Есть два высших образования
additional,Умеет делать массаж сердца
additional,Может оказать первую помощь
additional,Может сделать пистолет из дерева
additional,Служил в армии
additional,Может приготовить любое мясо и рыбу
additional,Мастер боевых искусств
additional,Знает четрые языка
additional,Умеет вышивать
additional,Верит в НЛО
additional,Хорошо играет в карты
additional,Год назад выиграл 1 млн
additional,Жил на улице два года
additional,Умеет готовить
additional,В детстве хотел стать актером
additional,Любит мягкие вещи
additional,Ненавидит кофе
additional,Знает все книги о вампирах
additional,Смотрел все фильмы с зобми
additional,Был вожатым в лагере
additional,Профессиональный игрок в шахматы
additional,Прочитал много книг про выживание
additional,В школе ходил в инженерный кружок
additional,Является скрытым агентом ФБР
additional,Прочел много книг с рецептами блюд
additional,Верит в привидения
additional,Мастер по маникюру
additional,Смотрит аниме
additional,Добегает до кухни быстрее кота
additional,Радиотехник с опытом в 15 лет
additional,Верит в реинкорнацию
additional,Смотрит фильмы для взрослых
additional,Хорошо ориентируется в местности
additional,Вегетерианец
additional,Непробиваемый дед
additional,Имеет медицинское образование
additional,Занимается биологией
additional,Хорошо пишет рассказы
additional,Верит в экстрасенсов
additional,Имеет военный потенциал
additional,Ограбил банк
additional,Ограбил деда
additional,Уже выживал в бункере 1 раз
additional,Снимался в порно
additional,Хорошо моет полы
additional,Миллионер
additional,Коллекционирует монет
additional,Скептик
additional,Любит поспать,true
